,Right_Hip_Angle,Right_Hip_Angle,Right_Hip_Angle,Right_Knee_Angle,Right_Knee_Angle,Right_Knee_Angle,Right_Ankle_Angle,Right_Ankle_Angle,Right_Ankle_Angle,Right_Pelvic_Angle,Right_Pelvic_Angle,Right_Pelvic_Angle,Right_Foot_Pitch_Angle
,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED
ITEM,X,Y,Z,X.1,Y.1,Z.1,X.2,Y.2,Z.2,X.3,Y.3,Z.3,X.4
96.0,16.25011,2.10971,1.83712,5.25958,-2.90946,-6.22609,-4.05526,15.51065,6.8784,12.26222,7.15267,166.77415,-0.43825
97.0,16.22876,2.17911,1.70407,5.59962,-2.81915,-6.43045,-3.98907,15.34156,6.70123,12.08638,7.26244,166.53702,-0.33741
98.0,16.23169,2.29087,1.53837,6.0394,-2.67805,-6.66192,-3.87297,15.17132,6.33731,11.87417,7.39891,166.27028,-0.25336
99.0,16.25344,2.43479,1.37713,6.56204,-2.48237,-6.98008,-3.71441,15.01267,5.79075,11.62876,7.55577,165.97769,-0.19682
100.0,16.28371,2.5949,1.24968,7.14315,-2.23606,-7.45209,-3.53152,14.87334,5.12396,11.35336,7.72233,165.66821,-0.17401
101.0,16.31064,2.75521,1.17039,7.75333,-1.95222,-8.12199,-3.34808,14.75652,4.43625,11.05264,7.88744,165.35393,-0.18453
102.0,16.32479,2.90564,1.13849,8.36238,-1.65289,-8.99109,-3.18553,14.66721,3.82876,10.73423,8.04381,165.04784,-0.22422
103.0,16.32145,3.04224,1.14013,8.9439,-1.36331,-10.00357,-3.05343,14.61766,3.36408,10.40837,8.18839,164.76205,-0.29102
104.0,16.29976,3.16431,1.15312,9.47526,-1.10518,-11.05721,-2.95,14.62826,3.05447,10.08519,8.32041,164.50644,-0.38989
105.0,16.2613,3.27186,1.15518,9.93313,-0.89658,-12.03873,-2.87356,14.72111,2.88261,9.77205,8.43895,164.28749,-0.53188
106.0,16.20896,3.36777,1.13336,10.29248,-0.75217,-12.85575,-2.82739,14.9048,2.82293,9.47292,8.54236,164.10699,-0.72815
107.0,16.14675,3.46059,1.08879,10.53152,-0.67617,-13.4507,-2.81268,15.16381,2.84896,9.18991,8.62888,163.96227,-0.98604
